storeid,storename,date,latitude,longitude,qty_notes,score
AM1,AUTOMERCADO,2015-03-01T01:03:00Z,9.94014,-84.1556,5,-0.224203126691282
AM1,AUTOMERCADO,2015-03-01T02:03:00Z,9.94014,-84.1556,2,-0.518153790850192
AM1,AUTOMERCADO,2015-03-01T03:03:00Z,9.94014,-84.1556,4,-0.229838189203292
AM1,AUTOMERCADO,2015-03-01T04:03:00Z,9.94014,-84.1556,1,0.149172698147595
AM1,AUTOMERCADO,2015-03-01T05:03:00Z,9.94014,-84.1556,3,0.707871879761418
AM1,AUTOMERCADO,2015-03-01T07:03:00Z,9.94014,-84.1556,1,-0.251755439676344
AM1,AUTOMERCADO,2015-03-01T10:03:00Z,9.94014,-84.1556,2,-0.0799878095276654
AM1,AUTOMERCADO,2015-03-01T11:03:00Z,9.94014,-84.1556,2,0.497804158832878
AM1,AUTOMERCADO,2015-03-01T12:03:00Z,9.94014,-84.1556,3,-0.0943773925925295
AM1,AUTOMERCADO,2015-03-02T01:03:00Z,9.94014,-84.1556,1,-0.688178954645991
AM1,AUTOMERCADO,2015-03-02T02:03:00Z,9.94014,-84.1556,3,-0.161386183463037
AM1,AUTOMERCADO,2015-03-02T04:03:00Z,9.94014,-84.1556,1,0.828257547691464
AM1,AUTOMERCADO,2015-03-02T06:03:00Z,9.94014,-84.1556,5,0.279580285400152
AM1,AUTOMERCADO,2015-03-02T07:03:00Z,9.94014,-84.1556,1,-0.172003261744976
AM1,AUTOMERCADO,2015-03-02T08:03:00Z,9.94014,-84.1556,2,0.181049132719636
AM1,AUTOMERCADO,2015-03-02T09:03:00Z,9.94014,-84.1556,1,-0.705279482528567
AM1,AUTOMERCADO,2015-03-02T10:03:00Z,9.94014,-84.1556,2,0.553639939520508
AM1,AUTOMERCADO,2015-03-02T11:03:00Z,9.94014,-84.1556,1,-0.377294675447047
AM1,AUTOMERCADO,2015-03-02T12:03:00Z,9.94014,-84.1556,1,0.781101109459996
AM1,AUTOMERCADO,2015-03-03T01:03:00Z,9.94014,-84.1556,2,0.371137132868171
AM1,AUTOMERCADO,2015-03-03T02:03:00Z,9.94014,-84.1556,2,0.0947237065993249
AM1,AUTOMERCADO,2015-03-03T03:03:00Z,9.94014,-84.1556,1,-0.232977543026209
AM1,AUTOMERCADO,2015-03-03T04:03:00Z,9.94014,-84.1556,2,-0.159708110615611
AM1,AUTOMERCADO,2015-03-03T05:03:00Z,9.94014,-84.1556,1,-0.563470018096268
AM1,AUTOMERCADO,2015-03-03T06:03:00Z,9.94014,-84.1556,2,0.0340361599810421
AM1,AUTOMERCADO,2015-03-03T07:03:00Z,9.94014,-84.1556,4,-0.309260208392516
AM1,AUTOMERCADO,2015-03-03T08:03:00Z,9.94014,-84.1556,2,-0.624636565335095
AM1,AUTOMERCADO,2015-03-03T09:03:00Z,9.94014,-84.1556,2,-0.119847950991243
AM1,AUTOMERCADO,2015-03-03T11:03:00Z,9.94014,-84.1556,1,0.425762651488185
AM1,AUTOMERCADO,2015-03-03T12:03:00Z,9.94014,-84.1556,3,-0.169075808798273
AM1,AUTOMERCADO,2015-03-04T01:03:00Z,9.94014,-84.1556,2,-0.329851676244289
AM1,AUTOMERCADO,2015-03-04T02:03:00Z,9.94014,-84.1556,4,0.145567110972479
AM1,AUTOMERCADO,2015-03-04T04:03:00Z,9.94014,-84.1556,1,0.264322376810014
AM1,AUTOMERCADO,2015-03-04T06:03:00Z,9.94014,-84.1556,1,-0.302815839648247
AM1,AUTOMERCADO,2015-03-04T08:03:00Z,9.94014,-84.1556,5,-0.230242859013379
AM1,AUTOMERCADO,2015-03-04T09:03:00Z,9.94014,-84.1556,2,-0.122624464333057
AM1,AUTOMERCADO,2015-03-04T10:03:00Z,9.94014,-84.1556,2,-0.605933541897684
AM1,AUTOMERCADO,2015-03-04T11:03:00Z,9.94014,-84.1556,1,-0.428439319133759
AM1,AUTOMERCADO,2015-03-04T12:03:00Z,9.94014,-84.1556,2,-0.26910540368408
AM1,AUTOMERCADO,2015-03-05T01:03:00Z,9.94014,-84.1556,3,-0.127478119296332
AM1,AUTOMERCADO,2015-03-05T02:03:00Z,9.94014,-84.1556,5,-0.0444991394877434
AM1,AUTOMERCADO,2015-03-05T03:03:00Z,9.94014,-84.1556,6,0.0427885789734622
AM1,AUTOMERCADO,2015-03-05T04:03:00Z,9.94014,-84.1556,2,0.101602157577872
AM1,AUTOMERCADO,2015-03-05T05:03:00Z,9.94014,-84.1556,4,-0.49335214891471
AM1,AUTOMERCADO,2015-03-05T06:03:00Z,9.94014,-84.1556,5,-0.0115283146500587
AM1,AUTOMERCADO,2015-03-05T07:03:00Z,9.94014,-84.1556,2,0.180346740409732
AM1,AUTOMERCADO,2015-03-05T08:03:00Z,9.94014,-84.1556,3,0.400786615287264
AM1,AUTOMERCADO,2015-03-05T09:03:00Z,9.94014,-84.1556,1,-0.606925209984183
AM1,AUTOMERCADO,2015-03-05T10:03:00Z,9.94014,-84.1556,3,0.0214639004940788
AM1,AUTOMERCADO,2015-03-05T11:03:00Z,9.94014,-84.1556,2,-0.260177355725318
AM1,AUTOMERCADO,2015-03-05T12:03:00Z,9.94014,-84.1556,2,0.274145927280188
AM1,AUTOMERCADO,2015-03-06T01:03:00Z,9.94014,-84.1556,2,0.332846482284367
AM1,AUTOMERCADO,2015-03-06T02:03:00Z,9.94014,-84.1556,1,-0.774561633355916
AM1,AUTOMERCADO,2015-03-06T03:03:00Z,9.94014,-84.1556,5,-0.234860590100288
AM1,AUTOMERCADO,2015-03-06T04:03:00Z,9.94014,-84.1556,3,-0.423922408061723
AM1,AUTOMERCADO,2015-03-06T05:03:00Z,9.94014,-84.1556,3,-0.26475130704542
AM1,AUTOMERCADO,2015-03-06T06:03:00Z,9.94014,-84.1556,5,-0.27176347002387
AM1,AUTOMERCADO,2015-03-06T07:03:00Z,9.94014,-84.1556,2,0.352104294113815
AM1,AUTOMERCADO,2015-03-06T08:03:00Z,9.94014,-84.1556,4,-0.596182609442621
AM1,AUTOMERCADO,2015-03-06T09:03:00Z,9.94014,-84.1556,2,0.158327050041407
AM1,AUTOMERCADO,2015-03-06T10:03:00Z,9.94014,-84.1556,3,-0.457611298188567
AM1,AUTOMERCADO,2015-03-06T11:03:00Z,9.94014,-84.1556,2,-0.043809593655169
AM1,AUTOMERCADO,2015-03-06T12:03:00Z,9.94014,-84.1556,1,-0.795503871515393
AM1,AUTOMERCADO,2015-03-07T02:03:00Z,9.94014,-84.1556,2,-0.159301368054003
AM1,AUTOMERCADO,2015-03-07T03:03:00Z,9.94014,-84.1556,4,-0.0930319051258266
AM1,AUTOMERCADO,2015-03-07T04:03:00Z,9.94014,-84.1556,1,-0.0159483104944229
AM1,AUTOMERCADO,2015-03-07T05:03:00Z,9.94014,-84.1556,4,0.100048193940893
AM1,AUTOMERCADO,2015-03-07T06:03:00Z,9.94014,-84.1556,3,0.188085547958811
AM1,AUTOMERCADO,2015-03-07T07:03:00Z,9.94014,-84.1556,1,0.251752973534167
AM1,AUTOMERCADO,2015-03-07T09:03:00Z,9.94014,-84.1556,2,-0.466787823475897
AM1,AUTOMERCADO,2015-03-07T10:03:00Z,9.94014,-84.1556,1,0.34586619399488
AM1,AUTOMERCADO,2015-03-07T11:03:00Z,9.94014,-84.1556,3,-0.0175623291482528
AM1,AUTOMERCADO,2015-03-08T01:03:00Z,9.94014,-84.1556,1,0.383852957747877
AM1,AUTOMERCADO,2015-03-08T02:03:00Z,9.94014,-84.1556,1,0.720230995677412
AM1,AUTOMERCADO,2015-03-08T03:03:00Z,9.94014,-84.1556,1,0.857792804948986
AM1,AUTOMERCADO,2015-03-08T04:03:00Z,9.94014,-84.1556,1,-0.420367496088147
AM1,AUTOMERCADO,2015-03-08T05:03:00Z,9.94014,-84.1556,1,0.991574828512967
AM1,AUTOMERCADO,2015-03-08T06:03:00Z,9.94014,-84.1556,4,-0.155784787377343
AM1,AUTOMERCADO,2015-03-08T07:03:00Z,9.94014,-84.1556,2,-0.428036303259432
AM1,AUTOMERCADO,2015-03-08T08:03:00Z,9.94014,-84.1556,4,0.451732392190024
AM1,AUTOMERCADO,2015-03-08T09:03:00Z,9.94014,-84.1556,3,0.391695759259164
AM1,AUTOMERCADO,2015-03-08T10:03:00Z,9.94014,-84.1556,2,0.361038009170443
AM1,AUTOMERCADO,2015-03-08T11:03:00Z,9.94014,-84.1556,1,-0.0359247634187341
AM1,AUTOMERCADO,2015-03-08T12:03:00Z,9.94014,-84.1556,2,-0.597925397567451
AM1,AUTOMERCADO,2015-03-09T02:03:00Z,9.94014,-84.1556,1,0.117387367412448
AM1,AUTOMERCADO,2015-03-09T03:03:00Z,9.94014,-84.1556,5,0.287553421966732
AM1,AUTOMERCADO,2015-03-09T06:03:00Z,9.94014,-84.1556,1,-0.821590201929212
AM1,AUTOMERCADO,2015-03-09T07:03:00Z,9.94014,-84.1556,1,0.306189344264567
AM1,AUTOMERCADO,2015-03-09T08:03:00Z,9.94014,-84.1556,6,0.038123384428521
AM1,AUTOMERCADO,2015-03-09T09:03:00Z,9.94014,-84.1556,1,-0.362885043025017
AM1,AUTOMERCADO,2015-03-09T12:03:00Z,9.94014,-84.1556,1,0.621102273464203
AM1,AUTOMERCADO,2015-03-10T01:03:00Z,9.94014,-84.1556,2,0.235806929878891
AM1,AUTOMERCADO,2015-03-10T02:03:00Z,9.94014,-84.1556,3,0.645158654389282
AM1,AUTOMERCADO,2015-03-10T03:03:00Z,9.94014,-84.1556,4,-0.438287490978837
AM1,AUTOMERCADO,2015-03-10T04:03:00Z,9.94014,-84.1556,1,0.781177802011371
AM1,AUTOMERCADO,2015-03-10T05:03:00Z,9.94014,-84.1556,2,0.795511205680668
AM1,AUTOMERCADO,2015-03-10T06:03:00Z,9.94014,-84.1556,5,-0.0074370251968503
AM1,AUTOMERCADO,2015-03-10T07:03:00Z,9.94014,-84.1556,2,0.333015914075077
AM1,AUTOMERCADO,2015-03-10T09:03:00Z,9.94014,-84.1556,2,0.448989816009998
AM1,AUTOMERCADO,2015-03-10T10:03:00Z,9.94014,-84.1556,3,0.625052579057713
AM1,AUTOMERCADO,2015-03-10T11:03:00Z,9.94014,-84.1556,1,-0.596151781268418
AM1,AUTOMERCADO,2015-03-11T01:03:00Z,9.94014,-84.1556,1,0.613513370975852
